"ケース","DTMF","用件","テスト観点","注入値(inject)","主要経路・チェックポイント","終話","判定","実施日時","備考"
"1","1#","予約","DTMF予約 本道(happy path)","入力_確認用件=1","save-予約→確認_通院歴(有)→診療科→対象→予約希望日→確認_理由→個人情報聴取_2→RAG→終話分岐_2:1","終話①(携帯・SMS)","PASS","2026-06-15 13:42","基準正常系"
"2","2#","変更","DTMF変更 新経路(PNG準拠)","入力_確認用件=2","save-変更→確認_診療科_2→診療科2→追加診療科→現在予約日→用件分岐:1→アナウンス分岐2→予約希望日→確認_理由","終話①(携帯)","PASS","2026-06-15 13:43","通院歴経路→診療科経路へ統一(旧バグ修正)"
"3","3#","キャンセル","DTMFキャンセル 新経路(PNG準拠)","入力_確認用件=3","save-キャンセル→確認_診療科_2→…→用件分岐:2→確認_理由(予約希望日なし)→終話分岐_2:3","終話③(携帯キャンセル)","PASS","2026-06-15 13:44","キャンセルは希望日を聞かない"
"4","4#","予約(音声)","音声予約 classification保存","入力_確認用件=予約をお願いします","openAI_確認_用件:予約→save-予約→確認_通院歴→…→終話分岐_2:1","終話①","PASS","2026-06-15 13:47","旧FAIL(終話分岐_2:0行き止まり)→修正で完走"
"5","5#","変更(音声)","音声変更","入力_確認用件=予約を変更したい","openAI:変更→save-変更→確認_診療科_2→用件分岐:1→アナウンス分岐2→予約希望日→終話分岐_2:2","終話①","PASS","2026-06-15 13:48",""
"6","6#","キャンセル(音声)","音声キャンセル","入力_確認用件=予約をキャンセルしたい","openAI:キャンセル→save-キャンセル→確認_診療科_2→用件分岐:2→確認_理由→終話分岐_2:3","終話③","PASS","2026-06-15 13:49",""
"7","7#","予約","初診(通院歴=無)","入力_確認用件=1 / 入力_確認_通院歴=いいえ初めてです","openAI_確認_通院歴:無→選定療養費案内→診療科→…→個人情報聴取分岐:1→個人情報聴取_1(初診)→終話分岐_1:1→終話分岐_2:1","終話①","PASS","2026-06-15 13:52","選定療養費案内・初診サブフロー(診察券なし)"
"8","8#","予約","復唱_診療科 否定→再聴取","入力_確認用件=1 / 入力_復唱_診療科=いいえ→はい","script_肯定or否定_2:否定→復唱診療科否定→入力_確認_診療科 再聴取→2回目 肯定→対象→…","終話①","PASS","2026-06-15 13:53","否定リカバリ"
"9","9#","予約","予約希望日 7月後半希望(報告再現)","入力_確認用件=1 / 入力_確認_予約希望日=7月後半希望","openAI_確認_予約希望日:7月後半希望→確認_理由(切断なし)→…→終話分岐_2:1","終話①","PASS","2026-06-15 13:55","ユーザー報告の切断入力・解消確認(S0回帰)"
"10","10#","予約","予約希望日 聴取失敗(exhaust)","入力_確認用件=1 / 入力_確認_予約希望日=NO_RESULT","…リトライ_確認_予約希望日:false→openAI_聴取不可_5→確認_理由→…→終話分岐_2:1","終話①","PASS","2026-06-15 13:57","exhaust経路到達・完走。診療科既定が皮膚科→皮に欠け対象判定NO_RESULT→確認_現在予約日へ迂回(既存配線・要共有)"
"11","11#","予約","用件リトライtrue(1回失敗→成功)","入力_確認用件=NO_RESULT→1","リトライ_確認_用件:true→確認_用件→再聴取→1→save-予約→…→終話分岐_2:1","終話①","PASS","2026-06-15 14:00","用件2回失敗→確認_用件再案内(無限ループ解消の前進挙動)"
"12","12#","予約","診療科 聴取失敗(exhaust)","入力_確認用件=1 / 入力_確認_診療科=NO_RESULT","…リトライ_確認_診療科:false→openAI_聴取不可_3→個人情報聴取分岐→…→終話分岐_2:1","終話①","PASS","2026-06-15 14:00",""
"13","13#","予約","初診×固定電話(終話経路検証)","固定番号から着信(DTMFケース選択はTIMEOUT→tc=1)","着信電話番号分岐:固定→患者_連絡先→…→終話分岐_1:0→終話分岐_3:0→終話分岐:1→save-固定_予約変更","終話②(固定・折り返し)","PASS","2026-06-15 14:05","固定ルート＆終話②(SMSなし折り返し)到達確認。固定からのDTMF選択不可はハーネス制約でフローのバグではない"
