Step(canonical),入力元(Sheet1),block_type,input_mode,output_format,processing,処理参照(自動),risk,予約ルート,変更ルート,キャンセルルート,その他お問い合わせルート,[記入方法] ✓=含む(canonical名) / choice値=分岐トリガー / カスタム名=Brekeke固有名 / 空=含まない
冒頭,冒頭アナウンス,opening,none,,none,アナウンスのみ,,✓,✓,✓,✓,
3診療日確認,3診療日確認,UNKNOWN,UNKNOWN,,,,,✓,✓,✓,✓,
END_代表案内,代表案内,termination,none,,none,代表番号案内（非通知扱い: status=2 / smsFlag=-2）,,,,,,
用件確認,用件,intent,DTMF+AmiVoice,enum,script,SKILL_用件（intent classifier）,high,予約,変更,キャンセル,その他お問い合わせ,
質問,質問,UNKNOWN,UNKNOWN,,,,,✓,✓,✓,✓,
氏名,患者名,patient_name,AmiVoice,text,none,scaffold_slot（PatientName サブフロー）,,✓,✓,✓,✓,
生年月日,生年月日,dob,AmiVoice,datetime,none,scaffold_slot（DOB インライン展開）,,✓,✓,✓,✓,
電話番号,連絡先番号（携帯電話）,phone,DTMF+AmiVoice,text,none,scaffold_slot（phone インライン展開）,,✓,✓,✓,✓,
連絡先番号（固定電話）,連絡先番号（固定電話）,phone,DTMF+AmiVoice,text,none,scaffold_slot（phone インライン展開）,,✓,✓,✓,✓,
終話,終話①（予約・変更・問い合わせ）,termination,DTMF+AmiVoice,,none,通話終了,,,,,,
終話②（キャンセル・問い合わせ）,終話②（キャンセル・問い合わせ）,termination,DTMF+AmiVoice,,none,通話終了,,,,,,
リトライ時ガイダンス,リトライ時ガイダンス,UNKNOWN,UNKNOWN,,,,,✓,✓,✓,✓,
通話切断ガイダンス（代表案内で終話）,通話切断ガイダンス（代表案内で終話）,termination,none,,none,代表番号案内（非通知扱い: status=2 / smsFlag=-2）,,,,,,
受診歴確認,受診歴（予約）,hearing,AmiVoice,enum,script,初診/再診キーワード判定（完全一致優先）,,✓,✓,✓,✓,
選定療養費アナウンス（予約）,選定療養費アナウンス（予約）,UNKNOWN,UNKNOWN,,,,,✓,✓,✓,✓,
診療科,診療科（予約）,clinical_department,AmiVoice,enum,script,SKILL_診療科（kamei_normalize.js 最長一致）,,✓,✓,✓,✓,
予約希望日,予約希望日（予約・変更）,hearing,AmiVoice,datetime,openai,SKILL_希望日（固定プロンプト 9ステップ）,,✓,✓,✓,✓,
診療科（変更・キャンセル）,診療科（変更・キャンセル）,clinical_department,AmiVoice,enum,script,SKILL_診療科（kamei_normalize.js 最長一致）,,✓,✓,✓,✓,
主治医の先生（変更・キャンセル）,主治医の先生（変更・キャンセル）,UNKNOWN,UNKNOWN,,,,,✓,✓,✓,✓,
予約日聴取,現在の予約日（変更・キャンセル）,hearing,DTMF+AmiVoice,datetime,script,DTMF/日付正規化部品（決定論変換）,,✓,✓,✓,✓,
理由,理由（変更・キャンセル）,hearing,AmiVoice,text,script,modules/text_normalizer（フィラー除去）,,✓,✓,✓,✓,
薬処方確認（変更・キャンセル）,薬処方確認（変更・キャンセル）,UNKNOWN,UNKNOWN,,,,,✓,✓,✓,✓,
残薬確認,残薬確認（キャンセル）,hearing,AmiVoice,text,script,modules/text_normalizer（内容/日数は生かして保存）,,✓,✓,✓,✓,
問い合わせ内容,内容確認（その他お問い合わせ）,hearing,AmiVoice,text,script,text_normalizer → FAQ照合へ入力,,✓,✓,✓,✓,
