聴取項目名,TTS文言,choices,retry回数,retry後遷移先,reconfirm,amivoice_words
冒頭アナウンス,"お電話ありがとうございます。 カレス記念病院の診療専用AI電話です。
「プ」と音が鳴ったらお話しください。",,0,,なし,
3診療日確認,"こちらのお電話は、〇月〇日以降の受診を希望されるお問い合わせでしょうか？
「はい、そうです」または「いいえ、違います」でお話しください。",,2,代表案内,なし,
代表案内,"大変申し訳ございません。（直近の診療に関するご用件/お薬が足りない場合）はAI電話では承っておりません。
恐れ入りますが、代表電話にお電話をお願いいたします。
お電話ありがとうございました。それでは失礼いたします。",,0,,なし,
用件,"ご用件を次の４つのうちのいずれかでお話しください。
「1番、予約」「2番、変更」「3番、キャンセル」「4番、その他お問い合わせ」
ダイヤルプッシュでも入力いただけます。",予約|変更|キャンセル|その他お問い合わせ,2,代表案内,あり,
質問,"そのほかに何かお問い合わせはありますか。ない場合は「ありません。」とお話しください。",,2,次へ,なし,
患者名,"患者さんのお名前を「名前は山田太郎です。」のようにフルネームでお話しください。",,2,次へ,なし,
生年月日,"生年月日をお話しください。西暦の場合ダイヤルプッシュでも入力いただけます。",,2,次へ,なし,
連絡先番号（携帯電話）,"ご連絡先は今おかけいただいている「××× ‐ ××× ‐ ×××」でよろしいですか？
「はい、そうです」、または、「いいえ、ちがいます」、でお話しください。",,2,次へ,なし,
連絡先番号（固定電話）,"ご連絡先のお電話番号をお伺いします。携帯番号または0から始まる市外局番でお話しください。
ダイヤルプッシュでも入力いただけます。
入力が終わりましたら、最後に「こめじるし」を押してください。",,2,次へ,あり,
終話①（予約・変更・問い合わせ）,"（予約/変更/キャンセル/問い合わせ）の申し込みを受付いたしました。
3診療日以内に担当者から折り返し電話、もしくはショートメールにてご連絡いたします。
お電話ありがとうございました。それでは失礼いたします。",,0,,なし,
終話②（キャンセル・問い合わせ）,"（キャンセル/問い合わせ）の申し込みを受付いたしました。
確認事項がある場合のみ3診療日以内に担当者から折り返し電話、もしくはショートメールにてご連絡いたします。
お電話ありがとうございました。それでは失礼いたします。",,0,,なし,
リトライ時ガイダンス,"恐れ入りますがご回答が確認できませんでした。今一度おっしゃっていただけますでしょうか。
（質問を繰り返す）",,0,,なし,
通話切断ガイダンス（代表案内で終話）,"大変申し訳ございません。ご回答をうまく聞き取ることができませんでした。
恐れ入りますが、代表電話にお電話をお願いいたします。
お電話ありがとうございました。それでは失礼いたします。",,0,,なし,
受診歴（予約）,"ご希望される診療科での受診ははじめてですか？わからない場合は、「わからない。」とお話しください。",はい|いいえ|わからない,2,代表案内,なし,
選定療養費アナウンス（予約）,"他の医療機関からの紹介状をお持ちでない患者様につきましては、
通常の診療費とは別に、初診時選定療養費として7,700円を全額自己負担いただいております。
予めご了承ください。",,0,,なし,
診療科（予約）,"受診を希望される診療科をお話しください。わからない場合は、「わからない。」とお話しください。",,2,次へ,なし,
予約希望日（予約・変更）,"ご予約ご希望日をお話しください。ない場合は、ない場合は「ありません。」とお話しください。",,2,次へ,なし,
診療科（変更・キャンセル）,"予約されている診療科をお話しください。わからない場合は、「わからない。」とお話しください。",,2,次へ,なし,
主治医の先生（変更・キャンセル）,"主治医の先生をお話しください。わからない場合は、「わからない。」とお話しください。",,2,次へ,なし,
現在の予約日（変更・キャンセル）,"現在のご予約日をお話しください。",,2,次へ,なし,
理由（変更・キャンセル）,"（変更/キャンセル）の理由をお話しください。",,2,次へ,なし,
薬処方確認（変更・キャンセル）,"病院からお薬を処方されている方は、「はい、飲んでいます」と、
されていない方は「いいえ、飲んでいません」とお話しください。",飲んでいる|飲んでいない,2,次へ,なし,
残薬確認（キャンセル）,"残薬について確認をいたします。
残薬がある場合は「はい、あります」、無い場合は「いいえありません」とお話しください。",はい|いいえ,2,次へ,なし,
内容確認（その他お問い合わせ）,"お問い合わせ内容をお話しください。",,2,次へ,なし,
