tc,DTMF,経路（注入）,期待終端,テスト対象,実機結果,備考
1,1,発信元確認=患者本人・家族,END_折返し受付,入力_発信元確認 ^患者本人・家族$→用件確認,PASS,実機 2026-06-12
2,2,発信元確認=連携医療機関,END_折返し受付,入力_発信元確認 ^連携医療機関$→担当者確認_連携,PASS,トレース未提示（同型 tc28 で実証）
3,3,発信元確認=行政,END_折返し受付,入力_発信元確認 ^行政$→担当者確認_行政,PASS,トレース未提示（同型 tc32 で実証）
4,4,発信元確認=other,END_折返し受付,入力_発信元確認 →(catch-all)→折返し_氏名,PASS,catch-all 修正後 実機PASS
5,,発信元確認=NO_RESULT→患者本人・家族,END_折返し受付,リトライ_発信元確認 true（1回戻り→成功）,PASS,トレース未提示（同型リトライ tc18 で実証）
6,,発信元確認=NO_RESULT,完了フラグ_聴取失敗,リトライ_発信元確認 false（exhaust）,PASS,トレース未提示（同型 tc13 で実証）
7,1,用件確認=相談,END_折返し受付,入力_用件確認 ^相談$→相談区分確認,PASS,トレース未提示（同型 tc14 で実証）
8,,用件確認=大代表,大代表転送,入力_用件確認 ^大代表$→大代表転送,到達PASS,トレース未提示。大代表転送＝転送番号未設定で転送失敗想定
9,,用件確認=予約,END_予約センター案内,入力_用件確認 ^予約$→END_予約センター案内（弾き）,PASS,トレース未提示（弾き tc37 で実証）
10,,用件確認=定型案内,END_定型案内,入力_用件確認 ^定型案内$→定型案内,FAIL,ラベル「定型案内」は非キーワード→その他→折返し受付。実発話（駐車場/受付時間等）なら正常。要：注入を実発話に修正
11,,用件確認=other,END_折返し受付,入力_用件確認 →(catch-all)→折返し_氏名,PASS,実機（その他→catch-all）
12,,用件確認=NO_RESULT→相談,END_折返し受付,リトライ_用件確認 true（1回戻り→成功）,PASS,実機
13,,用件確認=NO_RESULT,完了フラグ_聴取失敗,リトライ_用件確認 false（exhaust）,PASS,実機
14,1,相談区分確認=入院,END_折返し受付,入力_相談区分確認 ^入院$→担当者確認_入院,PASS,実機
15,2,相談区分確認=外来,END_折返し受付,入力_相談区分確認 ^外来$→担当者確認_外来,PASS,実機
16,3,相談区分確認=新規,相談室転送,入力_相談区分確認 ^新規$→F1仕分け→相談室転送,到達PASS,相談室転送到達・転送番号未設定で転送失敗
17,,相談区分確認=other,相談室転送,入力_相談区分確認 →(catch-all)→F1仕分け→相談室転送,到達PASS,catch-all 実機OK・転送番号未設定で転送失敗
18,,相談区分確認=NO_RESULT→入院,END_折返し受付,リトライ_相談区分確認 true（1回戻り→成功）,PASS,実機
19,,相談区分確認=NO_RESULT,完了フラグ_聴取失敗,リトライ_相談区分確認 false（exhaust）,PASS,実機
20,1,担当者確認_入院=わかる,END_折返し受付,入力_担当者確認_入院 ^わかる$→患者氏名確認,PASS,実機
21,,担当者確認_入院=other,相談室転送,入力_担当者確認_入院 →(catch-all)→相談室転送,到達PASS,catch-all 実機OK・転送番号未設定で転送失敗
22,,担当者確認_入院=NO_RESULT→わかる,END_折返し受付,リトライ_担当者確認_入院 true（1回戻り→成功）,PASS,実機
23,,担当者確認_入院=NO_RESULT,完了フラグ_聴取失敗,リトライ_担当者確認_入院 false（exhaust）,PASS,実機
24,1,担当者確認_外来=わかる,END_折返し受付,入力_担当者確認_外来 ^わかる$→患者氏名確認,PASS,実機
25,,担当者確認_外来=other,相談室転送,入力_担当者確認_外来 →(catch-all)→F1仕分け→相談室転送,到達PASS,catch-all 実機OK・転送番号未設定で転送失敗
26,,担当者確認_外来=NO_RESULT→わかる,END_折返し受付,リトライ_担当者確認_外来 true（1回戻り→成功）,PASS,実機
27,,担当者確認_外来=NO_RESULT,完了フラグ_聴取失敗,リトライ_担当者確認_外来 false（exhaust）,PASS,実機
28,1,連携 / 担当者確認_連携=わかる,END_折返し受付,入力_担当者確認_連携 ^わかる$→担当者名聴取,PASS,実機
29,,連携 / 担当者確認_連携=other,相談室転送,入力_担当者確認_連携 →(catch-all)→相談室転送,到達PASS,catch-all 実機OK・転送番号未設定で転送失敗
30,,連携 / 担当者確認_連携=NO_RESULT→わかる,END_折返し受付,リトライ_担当者確認_連携 true（1回戻り→成功）,PASS,実機
31,,連携 / 担当者確認_連携=NO_RESULT,完了フラグ_聴取失敗,リトライ_担当者確認_連携 false（exhaust）,PASS,実機
32,1,行政 / 担当者確認_行政=わかる,END_折返し受付,入力_担当者確認_行政 ^わかる$→担当者名聴取,PASS,実機
33,,行政 / 担当者確認_行政=other,相談室転送,入力_担当者確認_行政 →(catch-all)→相談室転送,到達PASS,catch-all 実機OK・転送番号未設定で転送失敗
34,,行政 / 担当者確認_行政=NO_RESULT→わかる,END_折返し受付,リトライ_担当者確認_行政 true（1回戻り→成功）,PASS,実機
35,,行政 / 担当者確認_行政=NO_RESULT,完了フラグ_聴取失敗,リトライ_担当者確認_行政 false（exhaust）,PASS,実機
36,1,外来→担当者other / F1仕分け=相談予約,相談室転送,入力_F1仕分け ^相談予約$→相談室転送,到達PASS,転送番号未設定で転送失敗
37,2,外来→担当者other / F1仕分け=受診,END_予約センター案内,入力_F1仕分け ^受診$→END_予約センター案内（弾き）,PASS,実機（弾き・クリーン終話）
38,,外来→担当者other / F1仕分け=other,相談室転送,入力_F1仕分け →(catch-all)→相談室転送,到達PASS,catch-all 実機OK・転送番号未設定で転送失敗
39,,外来→担当者other / F1仕分け=NO_RESULT→相談予約,相談室転送,リトライ_F1仕分け true（1回戻り→成功）,到達PASS,リトライ実機OK・転送番号未設定で転送失敗
40,,外来→担当者other / F1仕分け=NO_RESULT,完了フラグ_聴取失敗,リトライ_F1仕分け false（exhaust）,PASS,実機
